name,app_price,play_price,total_app_price,avg_app_rating,app_genre,play_genre,app_trader_purchase_price,avg_app_rating_rounded,expected_app_lifespan_years
Fit Men Cook - Healthy Recipes,3.99,NULL,NULL,NULL,Food & Drink,NULL,"$10,000.00 ",NULL,1
Fit The Fat 2,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fit 私人健身教练-超有效的健康运动减肥软件,0,NULL,NULL,NULL,Health & Fitness,NULL,"$10,000.00 ",NULL,1
Fitbit,0,$0.00 ,$0.00 ,3.95,Health & Fitness,Health & Fitness,"$10,000.00 ",4,9
Fitbod Workout Log: Strength Lifting Bodybuilding,0,NULL,NULL,NULL,Health & Fitness,NULL,"$10,000.00 ",NULL,1
Fitmoji by Shaun T,1.99,NULL,NULL,NULL,Entertainment,NULL,"$10,000.00 ",NULL,1
"Fitness - Gym and Home Workout,my Exercise Journal",2.99,NULL,NULL,NULL,Health & Fitness,NULL,"$10,000.00 ",NULL,1
Fitness and Bodybuilding by VGFIT,0.99,NULL,NULL,NULL,Health & Fitness,NULL,"$10,000.00 ",NULL,1
"Fitness Buddy+ Gym Workout Exercise, Home Trainer",2.99,NULL,NULL,NULL,Health & Fitness,NULL,"$10,000.00 ",NULL,1
Fitness Girl - Dance and Play at the Gym,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fitness Point Pro,4.99,NULL,NULL,NULL,Health & Fitness,NULL,"$10,000.00 ",NULL,1
Fitness Sync for Fitbit to Apple Health,2.99,NULL,NULL,NULL,Health & Fitness,NULL,"$10,000.00 ",NULL,1
Fits - Block Puzzle King,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fitstar Personal Trainer,0,NULL,NULL,NULL,Health & Fitness,NULL,"$10,000.00 ",NULL,1
Five Card Quest - Tactical RPG Battles,2.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Five Finger Fury,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Five Minute Journal,4.99,NULL,NULL,NULL,Lifestyle,NULL,"$10,000.00 ",NULL,1
Five Nights at Freddys 4,2.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fix It Girls - House Makeover,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fix My Car: Classic Muscle Mods Mechanic - Junkyard Blitz!,1.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fix My Car: Custom Mods,1.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fix My Car: Garage Wars - Furious Street Mechanic!,1.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fix My Truck: 4x4 Offroad Truck Mechanic Simulator,1.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
FixYou-無料でチャットトークができるSNSマッチングアプリ,0,NULL,NULL,NULL,Social Networking,NULL,"$10,000.00 ",NULL,1
FizzUp – Online Fitness Trainer,0,NULL,NULL,NULL,Health & Fitness,NULL,"$10,000.00 ",NULL,1
FL Studio Mobile,13.99,NULL,NULL,NULL,Music,NULL,"$10,000.00 ",NULL,1
Flail Rider,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Flappy Bird : original version !,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Flappy Golf,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Flappy Golf 2,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Flappy Hoopers: The Shooting Basketball Players,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Flappy Marine,0.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Flashlight ！,0,NULL,NULL,NULL,Utilities,NULL,"$10,000.00 ",NULL,1
Flashlight ◎,0,NULL,NULL,NULL,Business,NULL,"$10,000.00 ",NULL,1
"Flashlight for iPhone , iPod and iPad",0,NULL,NULL,NULL,Utilities,NULL,"$10,000.00 ",NULL,1
Flashlight Ⓞ,0,NULL,NULL,NULL,Utilities,NULL,"$10,000.00 ",NULL,1
